region,tik,invalid,valid,КПРФ,ЗЕЛЕНЫЕ,ЛДПР,НЛ,ЕР,СР,ЯБЛОКО,ПР,РПСС,КР,ГП,ЗА,РОДИНА
Белгородская область,Алексеевская,173,37588,4221,118,1410,897,27641,1577,132,73,193,283,56,67,129
Белгородская область,Белгородская городская,2552,131728,29375,1773,10475,11971,52348,12679,1236,440,1150,1948,145,1218,1322
Белгородская область,Белгородская районная,1382,66835,14261,777,6026,5532,28655,5208,553,228,570,1102,111,482,599
Белгородская область,Борисовская,139,16465,1991,75,789,394,10513,1783,70,53,91,183,25,57,74
Белгородская область,Валуйская,616,35963,6335,178,3175,1396,20444,2123,128,56,190,561,38,133,201
Белгородская область,Вейделевская,28,13925,1431,47,416,127,11179,270,39,23,46,78,12,26,44
Белгородская область,Волоконовская,343,20321,2182,68,1007,320,15437,451,40,17,49,234,17,44,62
Белгородская область,Грайворонская,182,15525,1857,87,1125,482,10225,851,43,21,61,177,24,52,78
Белгородская область,Губкинская,780,42821,10119,277,3459,2659,18053,4630,188,123,279,808,29,235,319
Белгородская область,Ивнянская,154,14233,1665,57,652,338,10287,495,26,17,57,177,29,24,52
Белгородская область,Корочанская,485,22238,4651,167,1982,1004,11235,1445,99,46,140,413,26,104,123
Белгородская область,Красненская,46,7523,864,13,298,119,5798,187,17,4,13,72,2,8,16
Белгородская область,Красногвардейская,248,20021,3466,103,1750,714,11444,1139,77,35,70,365,20,59,95
Белгородская область,Краснояружская,126,9486,1124,39,579,216,6601,470,27,13,30,125,4,28,23
Белгородская область,Новооскольская,128,24640,2707,78,1196,433,18300,651,73,45,107,285,47,62,105
Белгородская область,Прохоровская,211,16380,2127,101,1118,537,10849,700,50,28,84,209,17,58,63
Белгородская область,Ракитянская,275,19287,2643,122,1176,439,13107,751,66,42,78,240,37,85,93
Белгородская область,Ровеньская,218,11159,2874,51,1051,386,5501,532,34,22,40,221,8,47,44
Белгородская область,Старооскольская,2070,97078,25665,962,7850,7849,37118,7815,674,293,867,1837,134,770,988
Белгородская область,Чернянская,130,19742,1865,87,951,401,14823,485,87,60,96,252,53,51,79
Белгородская область,Шебекинская,707,34844,9107,259,3268,2019,13798,3256,126,82,250,732,38,172,282
Белгородская область,Яковлевская,539,34686,4638,236,2621,1687,20609,2283,204,77,193,560,45,125,237
Брянская область,Брасовская,159,11472,1781,33,764,315,7799,340,28,26,36,102,15,16,44
Брянская область,"Брянск, Бежицкая",627,76090,10186,316,9880,1174,44758,4693,559,271,391,436,229,273,2154
Брянская область,"Брянск, Володарская",518,42338,4205,167,4776,452,27830,2470,227,114,121,213,101,125,1157
Брянская область,"Брянск, Советская",1290,54196,11159,370,5527,2531,27427,3343,394,276,355,433,248,366,621
Брянская область,"Брянск, Фокинская",153,45868,4569,73,3964,407,33420,2675,138,84,95,95,74,48,85
Брянская область,Брянская-77,167,21993,1841,43,1381,322,17090,654,70,94,52,107,33,48,97
Брянская область,Брянская-78,242,12031,2153,60,833,429,6865,1006,67,37,68,117,10,48,63
Брянская область,Выгоничская,185,10324,1430,34,670,200,7390,270,18,10,29,82,12,23,40
Брянская область,Гордеевская,25,7112,376,1,439,48,6064,146,5,1,4,11,1,1,4
Брянская область,Дубровская,142,7659,1624,38,808,267,3751,653,50,31,45,90,10,30,45
Брянская область,Дятьковская,395,40637,5605,108,3847,583,27073,2216,118,143,123,176,32,72,154
Брянская область,Жирятинская,26,3285,510,8,327,104,1923,244,15,15,10,26,1,9,28
Брянская область,Жуковская,432,14396,3717,44,980,589,7226,1024,57,25,88,182,12,49,88
Брянская область,Злынковская,232,6577,846,30,464,279,4271,273,37,27,43,86,19,23,48
Брянская область,Карачевская,306,17051,3242,72,1311,704,9746,924,75,61,103,258,36,63,124
Брянская область,Клетнянская,539,9278,1625,29,602,187,6040,459,22,18,37,73,5,15,25
Брянская область,Климовская,357,15717,2320,79,1503,626,9448,869,46,44,94,216,28,56,66
Брянская область,Клинцовская,76,8956,1002,25,860,179,5854,627,50,29,46,75,15,20,49
Брянская область,Клинцовская городская,110,38067,3647,80,3709,177,27953,1929,66,38,64,83,49,43,67
Брянская область,Комаричская,94,9911,1297,19,535,232,7410,183,15,11,25,53,2,9,35
Брянская область,Красногорская,38,7697,617,8,422,62,6100,358,5,6,7,44,1,7,12
Брянская область,Мглинская,84,10862,902,19,668,148,8576,362,14,5,20,41,11,5,27
Брянская область,Навлинская,118,15135,1780,59,1528,216,10678,402,51,53,57,78,24,35,47
Брянская область,Новозыбковская городская,802,23891,4203,129,1870,1627,13273,1093,110,94,181,356,58,101,150
Брянская область,Погарская,256,17489,2103,50,1325,414,12226,624,42,37,77,165,28,37,76
Брянская область,Почепская,344,17488,3167,59,1592,715,10346,736,55,42,83,216,29,47,86
Брянская область,Рогнединская,40,3628,626,5,312,69,2275,204,6,5,12,22,0,3,17
Брянская область,Севская,100,8880,1092,20,726,219,5991,417,16,18,28,75,39,16,39
Брянская область,Сельцовская городская,199,6455,1569,34,592,458,2492,743,43,21,55,76,7,52,84
Брянская область,Стародубская,191,23712,1742,35,759,307,20173,245,41,31,40,98,42,30,36
Брянская область,Суземская,163,9835,1292,26,886,206,6667,344,30,31,44,83,23,39,38
Брянская область,Суражская,116,12787,1457,51,590,228,9341,751,35,19,38,82,9,16,34
Брянская область,Трубчевская,253,18796,3256,50,950,373,12892,513,55,27,79,203,14,36,64
Брянская область,Унечская,359,22562,3642,71,1501,534,14965,1052,53,48,66,149,28,52,116
Владимирская область,Александровская,816,27279,8175,279,2609,2291,8970,2236,286,233,418,373,47,152,286
Владимирская область,"Владимир, Ленинская",757,37627,10343,459,2915,3261,13422,3056,665,224,799,434,43,337,394
Владимирская область,"Владимир, Октябрьская",685,31001,8486,406,2476,2656,10795,2756,615,199,687,265,35,273,318
Владимирская область,"Владимир, Фрунзенская",621,29547,7870,308,2348,2311,11032,2616,520,126,551,265,28,226,280
Владимирская область,Вязниковская,602,22883,5364,114,2486,1415,10308,1762,104,73,186,225,11,74,126
Владимирская область,Гороховецкая,121,7106,1707,58,714,353,3093,624,38,49,85,86,27,48,50
Владимирская область,Гусь-Хрустальная,226,12313,2868,61,1221,651,5977,807,42,21,99,126,9,32,66
Владимирская область,Гусь-Хрустальная городская,334,16095,4286,131,1512,1272,6323,1313,101,65,222,155,20,83,159
Владимирская область,Камешковская,234,9041,2209,70,894,563,3910,692,48,19,96,109,11,37,75
Владимирская область,Киржачская,263,11129,3346,93,984,898,3836,915,102,39,170,181,13,63,104
Владимирская область,Ковровская,272,10135,2156,88,1392,564,4684,576,63,31,82,83,3,33,83
Владимирская область,Ковровская городская,987,40901,10704,416,3737,3570,14921,3478,486,211,585,480,48,309,451
Владимирская область,Кольчугинская,515,16476,5020,154,1820,1222,5362,1316,258,52,242,232,18,98,142
Владимирская область,Меленковская,447,12854,2907,73,1688,672,5791,859,73,35,129,158,15,57,67
Владимирская область,Муром округ,883,37911,10177,342,3617,2836,15085,2887,399,169,442,402,34,220,291
Владимирская область,Муромская,195,7393,1597,54,770,405,3710,417,54,12,71,79,4,27,26
Владимирская область,Петушинская,534,16420,4164,157,1571,1270,6622,1232,157,39,194,216,14,98,165
Владимирская область,Радужная городская,134,5440,1580,48,325,482,1807,671,47,28,77,71,0,35,59
Владимирская область,Селивановская,134,5948,1650,37,713,307,2234,577,31,27,69,68,0,26,36
Владимирская область,Собинская,515,16035,4411,138,1701,1049,6272,1190,89,74,158,201,11,88,115
Владимирская область,Судогодская,239,10720,3016,69,1204,867,3894,841,61,39,99,154,11,41,70
Владимирская область,Суздальская,336,13240,3508,115,1319,1026,5238,951,101,46,184,163,13,67,124
Владимирская область,Юрьев-Польская,207,10237,2853,69,1339,608,3959,712,51,28,94,117,4,43,63
Воронежская область,Cемилукская,386,21953,5553,125,1913,1291,9825,1674,114,51,147,255,20,93,384
Воронежская область,Аннинская,1296,22108,2579,53,1074,685,16290,620,101,21,61,172,11,40,154
Воронежская область,Бобровская,79,31244,1892,49,821,297,27207,407,75,20,40,83,16,19,95
Воронежская область,Богучарская,138,25062,3263,95,1385,619,17853,961,89,47,86,202,17,39,102
Воронежская область,Борисоглебская,670,27010,6605,183,2335,2110,10380,2527,130,73,199,483,24,173,1123
Воронежская область,Бутурлиновская,140,32938,2536,63,788,397,27988,476,54,45,70,151,14,34,118
Воронежская область,Верхнемамонская,140,9452,2062,55,823,574,4411,883,36,28,76,134,9,34,120
Воронежская область,Верхнехавская,303,12126,2870,63,1040,697,5844,801,52,32,58,180,14,47,178
Воронежская область,Воробьевская,62,11107,1387,42,575,175,8304,214,28,17,41,81,14,28,51
Воронежская область,"Воронеж, Железнодорожная",818,40623,11859,492,2659,3238,15518,3253,531,143,342,523,32,314,835
Воронежская область,"Воронеж, Коминтерновская",1405,70436,21667,754,4602,6682,21866,7588,1018,237,656,898,82,577,2037
Воронежская область,"Воронеж, Левобережная",1055,48223,14933,538,3532,3689,16670,4112,571,131,407,760,55,401,1192
Воронежская область,"Воронеж, Ленинская",732,35618,10022,457,2294,2909,13684,2765,647,120,365,384,39,314,770
Воронежская область,"Воронеж, Советская",999,50192,16013,595,3559,4168,16539,4405,716,157,471,712,48,447,1234
Воронежская область,"Воронеж, Центральная",863,33954,9692,635,2399,3148,11460,2944,689,166,329,391,35,415,836
Воронежская область,Грибановская,327,15027,3525,75,1235,898,7377,926,47,31,65,231,19,65,263
Воронежская область,Калачеевская,612,21257,4319,105,1234,914,12628,1049,48,25,102,235,12,44,202
Воронежская область,Каменская,190,7579,2020,45,774,653,3102,464,35,9,50,149,7,17,67
Воронежская область,Кантемировская,388,16049,4788,111,1815,911,5878,1277,54,43,119,331,17,73,204
Воронежская область,Каширская,88,15260,2397,13,2071,124,10210,288,34,8,24,21,11,21,19
Воронежская область,Лискинская,328,52372,7619,210,2835,2137,35466,1761,179,77,268,445,51,134,390
Воронежская область,Нижнедевицкая,59,10712,1938,22,469,191,7484,297,24,10,30,52,9,22,68
Воронежская область,Нововоронежская городская,334,14440,3676,170,1271,1074,5763,1258,137,42,110,162,11,115,256
Воронежская область,Новоусманская,388,56834,6240,114,3027,2974,39382,940,157,69,139,226,44,116,3027
Воронежская область,Новохоперская,90,24815,1363,78,584,278,21398,452,64,24,69,122,33,47,133
Воронежская область,Ольховатская,241,12593,1576,75,889,361,8609,392,45,23,65,166,10,53,131
Воронежская область,Острогожская,136,35470,3386,58,921,501,29303,557,65,30,61,184,17,37,136
Воронежская область,Павловская,327,22746,5759,103,1352,937,12352,1199,78,36,76,236,15,48,229
Воронежская область,Панинская,96,15272,1486,24,672,370,11866,360,21,10,30,120,20,17,114
Воронежская область,Петропавловская,63,12144,1513,17,469,292,9314,222,16,7,24,70,3,15,58
Воронежская область,Поворинская,98,16118,2438,31,506,272,12101,350,24,12,33,95,7,23,83
Воронежская область,Подгоренская,118,11785,1936,49,728,328,7589,479,25,26,43,255,12,26,86
Воронежская область,Рамонская,114,22567,2607,58,1297,1227,16202,457,71,53,79,136,25,47,120
Воронежская область,Репьевская,33,10450,1066,18,392,320,8104,142,21,8,28,55,4,14,54
Воронежская область,Россошанская,881,33928,10683,276,3379,2234,12125,2652,142,68,240,569,29,158,497
Воронежская область,Таловская,119,23255,2942,63,925,514,17608,471,44,24,78,183,14,42,116
Воронежская область,Терновская,201,11248,1720,34,573,417,7645,391,22,16,34,126,9,28,96
Воронежская область,Хохольская,72,19267,2666,73,965,598,13417,728,76,32,72,111,15,39,142
Воронежская область,Эртильская,208,13391,2798,74,1137,986,6793,724,42,41,56,189,13,46,207
Ивановская область,Верхнеландеховская,28,2179,353,6,148,44,1306,203,4,4,10,29,1,6,11
Ивановская область,Вичугская,178,5150,1850,46,460,305,1696,380,38,8,28,93,5,18,33
Ивановская область,Вичугская городская,393,10275,3281,69,1040,840,3515,691,114,20,64,165,8,57,82
Ивановская область,Гаврилово-Посадская,146,5530,1249,43,546,231,2774,305,34,13,44,71,4,23,32
Ивановская область,Заволжская,130,5073,1736,23,504,297,1644,377,55,16,40,96,5,22,55
Ивановская область,"Иваново, Ленинская",747,36356,10875,468,3059,2886,11544,3242,1190,188,318,422,41,333,442
Ивановская область,"Иваново, Октябрьская",497,22352,6597,312,2379,1591,6735,2227,528,78,239,279,21,222,317
Ивановская область,"Иваново, Советская",543,14044,4436,157,1409,1031,4232,1238,349,52,129,219,11,87,158
Ивановская область,"Иваново, Фрунзенская",516,28635,8458,338,2628,2018,9539,2623,634,112,253,387,35,239,342
Ивановская область,Ивановская-91,313,8689,1973,69,694,489,4179,645,98,19,52,108,7,36,54
Ивановская область,Ивановская-92,85,3731,829,39,345,200,1735,265,67,9,16,63,9,14,22
Ивановская область,Ильинская,53,2798,680,18,352,123,1147,262,20,12,16,44,5,13,23
Ивановская область,Кинешемская,150,6431,1917,47,1015,385,2037,472,67,13,46,113,5,21,78
Ивановская область,Кинешемская городская,489,20469,7711,133,1831,1422,5713,1481,280,66,161,363,13,86,531
Ивановская область,Комсомольская,89,9026,1381,18,607,186,6098,235,53,26,42,89,7,23,43
Ивановская область,Кохомская городская,291,7099,2180,48,642,452,2627,561,69,18,47,105,6,38,61
Ивановская область,Лежневская,139,7319,1609,39,614,409,3621,402,53,15,50,109,32,30,57
Ивановская область,Лухская,58,2497,620,13,290,114,1087,171,12,8,14,45,1,6,15
Ивановская область,Палехская,63,3705,1166,19,329,147,1456,292,35,8,12,57,7,22,17
Ивановская область,Пестяковская,65,2109,653,8,244,95,738,182,11,8,23,33,2,8,16
Ивановская область,Приволжская,167,7111,2118,51,629,409,2782,468,89,22,65,143,13,29,63
Ивановская область,Пучежская,149,4897,1554,29,508,182,1787,389,29,27,36,104,4,19,41
Ивановская область,Родниковская,218,9459,3104,70,940,636,3111,670,137,25,63,167,9,53,70
Ивановская область,Савинская,51,3414,660,22,904,131,1136,245,19,11,17,55,3,17,24
Ивановская область,Тейковская,103,4590,932,24,600,203,2084,334,32,14,31,86,5,13,32
Ивановская область,Тейковская городская,606,10997,2201,98,944,543,5890,555,121,28,79,103,7,76,59
Ивановская область,Фурмановская,317,11535,4026,84,987,650,3961,781,127,33,78,237,16,77,96
Ивановская область,Шуйская,109,7543,1484,46,720,281,3887,564,48,10,42,110,6,27,42
Ивановская область,Шуйская городская,595,15499,4737,140,1321,737,5605,1652,120,30,72,206,8,94,101
Ивановская область,Южская,161,7320,1475,46,990,353,3291,563,53,23,45,98,6,40,47
Ивановская область,Юрьевецкая,133,5108,1556,41,483,262,1955,369,43,21,41,96,3,23,37
Калужская область,Бабынинская,192,8007,1649,56,882,665,3086,1034,37,17,58,104,3,35,46
Калужская область,Барятинская,83,2254,463,14,218,103,1096,146,8,5,12,40,2,13,8
Калужская область,Боровская,514,21822,4748,276,2298,1824,8186,2074,265,154,271,350,54,208,201
Калужская область,Дзержинская,594,16649,3816,178,1535,1555,6044,1961,116,55,128,249,11,107,99
Калужская область,Думиничская,130,5096,1050,35,624,295,2229,408,28,6,33,67,8,24,19
Калужская область,Жиздринская,130,4962,978,27,643,318,2250,298,28,15,51,71,8,19,27
Калужская область,Жуковская,443,16376,3866,185,1634,1357,6277,1454,177,58,158,241,34,89,134
Калужская область,Износковская,76,2629,606,35,427,139,939,247,23,5,20,51,3,14,12
Калужская область,"Калуга, Ленинская",1039,44941,9831,656,3749,4310,15199,6223,887,227,465,528,51,449,410
Калужская область,"Калуга, Московская",881,36624,8486,441,3237,3353,12160,5185,493,183,320,494,37,342,314
Калужская область,"Калуга, Октябрьская",654,28592,6930,328,2710,2713,9171,3900,462,127,241,399,27,253,252
Калужская область,Кировская,324,12790,3743,88,1081,788,5128,945,69,35,76,184,14,79,89
Калужская область,Козельская,387,14479,2883,126,1511,1050,6123,1448,114,42,115,193,13,96,101
Калужская область,Куйбышевская,75,3231,1213,13,267,144,1284,132,12,4,17,40,0,10,12
Калужская область,Людиновская,480,15306,3856,141,1844,1245,5451,1351,111,52,110,236,13,101,105
Калужская область,Малоярославецкая,451,17228,4020,155,1556,1366,6774,1582,164,79,191,250,22,137,131
Калужская область,Медынская,218,5377,972,53,792,411,2200,475,27,21,40,64,9,42,31
Калужская область,Мещовская,100,4915,1114,34,424,252,2392,347,24,15,25,69,7,17,24
Калужская область,Мосальская,90,4281,751,35,527,210,2068,361,13,12,38,61,6,23,23
Калужская область,Обнинская городская,777,32809,7885,469,2465,3082,9987,4614,823,179,509,503,45,279,433
Калужская область,Перемышльская,204,6400,1082,61,724,505,2806,672,33,12,46,95,3,37,46
Калужская область,Спас-Деменская,73,3395,702,16,267,158,1791,208,16,10,21,41,7,17,14
Калужская область,Сухиничская,199,9963,1849,59,963,622,4757,954,40,29,67,113,14,29,60
Калужская область,Тарусская,158,5718,1324,61,626,410,2087,537,56,20,55,124,4,46,51
Калужская область,Ульяновская,77,3208,594,17,362,211,1571,196,18,7,14,32,6,15,14
Калужская область,Ферзиковская,205,7197,1350,88,774,637,2909,714,67,19,77,84,14,48,41
Калужская область,Хвастовичская,175,4842,1021,23,467,306,2334,248,25,19,27,61,10,19,25
Калужская область,Юхновская,150,5438,1081,47,765,428,2094,491,34,28,38,82,11,48,46
Костромская область,Антроповская,16,2105,578,10,267,129,771,201,10,1,8,30,4,8,20
Костромская область,Буйская,66,3819,997,27,389,295,1369,429,21,13,28,52,7,14,32
Костромская область,Буйская городская,119,6905,2326,39,628,536,1810,1028,37,18,57,94,8,29,51
Костромская область,Волгореченская городская,108,5696,1951,47,491,531,1485,679,57,34,42,65,10,27,56
Костромская область,Вохомская,57,3619,1017,21,455,338,1199,325,15,4,35,39,7,8,15
Костромская область,Галичская,47,2745,714,11,256,134,1009,429,12,6,10,47,3,9,17
Костромская область,Галичская городская,112,4598,1343,30,411,319,1300,921,30,17,24,41,1,17,23
Костромская область,Кадыйская,67,2682,846,9,265,204,913,260,8,4,7,57,4,8,29
Костромская область,Кологривская,44,1852,700,6,193,108,602,115,9,6,7,33,2,8,10
Костромская область,Костромская,315,14375,4054,108,1672,1246,4441,1482,173,46,87,192,32,107,190
Костромская область,Костромская городская 1,604,34700,10025,356,2967,3237,10245,4235,461,177,309,363,92,290,407
Костромская область,Костромская городская 2,814,43061,12614,405,3592,3875,12774,5383,661,228,410,377,98,333,450
Костромская область,Красносельская,196,7231,1996,81,856,654,2060,903,56,36,51,80,11,42,71
Костромская область,Макарьевская,77,4417,1306,19,429,305,1562,386,28,12,22,72,4,24,33
Костромская область,Мантуровская городская,101,5486,1646,27,663,304,1821,712,28,9,31,58,4,16,27
Костромская область,Межевская,35,1458,340,2,114,84,711,132,8,4,5,8,2,2,5
Костромская область,Нейская,89,4250,1337,19,417,459,1307,364,15,7,28,58,7,14,40
Костромская область,Нерехтская,227,11671,3115,60,1190,974,4033,1283,86,42,62,209,19,56,81
Костромская область,Октябрьская,21,1540,358,8,219,140,524,160,7,7,13,21,6,3,8
Костромская область,Островская,49,3668,907,19,427,298,1259,406,27,15,39,67,2,14,23
Костромская область,Павинская,15,1314,381,2,217,83,397,154,5,1,5,26,1,3,7
Костромская область,Парфеньевская,38,1960,370,13,248,218,658,286,8,6,16,22,4,9,18
Костромская область,Поназыревская,60,2087,601,10,249,139,754,175,8,7,15,27,4,7,8
Костромская область,Пыщугская,39,1562,405,6,167,281,474,108,6,4,7,23,1,3,10
Костромская область,Солигаличская,66,3148,816,20,518,240,980,358,17,11,12,37,4,16,16
Костромская область,Судиславская,87,4174,1170,23,549,291,1469,346,29,10,29,42,7,12,34
Костромская область,Сусанинская,72,2523,578,15,311,172,830,436,15,2,17,30,1,10,22
Костромская область,Чухломская,71,3292,1119,12,355,254,1032,292,16,5,11,50,5,10,23
Костромская область,Шарьинская,101,3525,806,16,597,293,1213,317,10,12,25,48,6,18,28
Костромская область,Шарьинская городская,163,9839,3422,58,1071,1128,2472,905,55,44,74,126,9,55,89
Курская область,Cуджанская,316,10035,2315,37,1399,650,3957,903,49,32,70,196,11,41,45
Курская область,Беловская,205,7088,1432,24,801,278,3291,727,40,16,62,117,9,25,22
Курская область,Большесолдатская,111,5605,1041,21,593,190,2983,428,31,12,34,87,7,12,22
Курская область,Глушковская,147,11160,1821,21,749,269,7282,435,32,16,33,215,9,20,36
Курская область,Горшеченская,87,8854,1003,22,625,293,6152,399,29,10,22,111,7,15,33
Курская область,Дмитриевская,121,6580,1446,18,576,273,3503,307,21,11,28,135,5,28,32
Курская область,Железногорская,104,5180,999,20,542,239,2750,255,22,10,33,80,12,33,37
Курская область,Железногорская городская,722,27721,7333,198,3148,2459,9880,1995,124,75,234,553,58,189,208
Курская область,Золотухинская,224,8478,1385,41,926,406,4468,595,45,32,74,99,18,43,49
Курская область,Касторенская,196,6088,1278,23,813,297,2748,504,27,15,42,63,11,14,30
Курская область,Конышевская,118,4096,738,16,506,166,2182,258,24,7,18,48,12,10,13
Курская область,Кореневская,221,6588,1446,30,1072,282,2554,671,30,12,51,112,10,33,31
Курская область,"Курск, Железнодорожная",627,17139,4295,129,1912,1392,6251,1669,139,64,139,181,12,118,123
Курская область,"Курск, Сеймская",1006,34535,8095,274,3916,2463,12968,3775,275,109,241,477,41,265,250
Курская область,"Курск, Центральная №1",748,30554,6762,344,2911,2880,11225,3208,474,108,300,386,69,275,263
Курская область,"Курск, Центральная №2",857,32251,7562,329,3522,3271,11069,3433,287,141,285,362,62,310,249
Курская область,Курская - 110,233,10287,1870,66,1154,674,4763,923,59,33,76,122,12,51,59
Курская область,Курская -109,155,7114,1213,36,672,403,3694,606,43,19,50,80,11,33,31
Курская область,Курчатовская,160,6054,1256,26,651,338,2842,417,29,16,39,90,10,36,29
Курская область,Курчатовская городская,426,14352,3454,109,1439,1245,5431,1276,125,37,105,191,28,118,93
Курская область,Льговская,131,4988,1002,15,653,207,2361,379,18,11,27,80,9,25,21
Курская область,Льговская городская,208,6698,1760,36,736,411,2690,552,27,17,40,113,6,21,31
Курская область,Мантуровская,173,5290,1266,21,537,242,2551,318,22,17,22,107,9,9,26
Курская область,Медвенская,129,8430,1294,39,869,306,4703,648,36,27,66,109,12,24,45
Курская область,Обоянская,193,10824,1760,28,1262,440,5775,895,43,17,63,159,7,32,34
Курская область,Октябрьская,212,7554,1444,38,827,412,3749,566,30,15,59,105,10,32,30
Курская область,Поныровская,127,4947,811,27,513,217,2825,252,25,6,37,54,11,25,20
Курская область,Пристенская,198,6739,1233,22,927,270,3308,511,22,18,49,111,6,31,25
